DR_NO;Date Rptd;DATE OCC;TIME OCC;AREA;AREA NAME;Rpt Dist No;Part 1-2;Crm Cd;Crm Cd Desc;Mocodes;Vict Age;Vict Sex;Vict Descent;Premis Cd;Premis Desc;Weapon Used Cd;Weapon Desc;Status;Status Desc;Crm Cd 1;Crm Cd 2;Crm Cd 3;Crm Cd 4;LOCATION;Cross Street;LAT;LON
190326475;03/01/2020 00:00;03/01/2020 00:00;2130;7;Wilshire;784;1;510;VEHICLE - STOLEN;;0;M;O;101;STREET;;;AA;Adult Arrest;510;998;;;1900 S  LONGWOOD                     AV;;340.375;-1.183.506
200106753;02/09/2020 00:00;02/08/2020 00:00;1800;1;Central;182;1;330;BURGLARY FROM VEHICLE;1822 1402 0344;47;M;O;128;BUS STOP/LAYOVER (ALSO QUERY 124);;;IC;Invest Cont;330;998;;;1000 S  FLOWER                       ST;;340.444;-1.182.628
200320258;11/11/2020 00:00;11/04/2020 00:00;1700;3;Southwest;356;1;480;BIKE - STOLEN;0344 1251;19;X;X;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);;;IC;Invest Cont;480;;;;1400 W  37TH                         ST;;34.021;-1.183.002
200907217;05/10/2023 00:00;03/10/2020 00:00;2037;9;Van Nuys;964;1;343;SHOPLIFTING-GRAND THEFT ($950.01 & OVER);0325 1501;19;M;O;405;CLOTHING STORE;;;IC;Invest Cont;343;;;;14000    RIVERSIDE                    DR;;341.576;-1.184.387
220614831;08/18/2022 12:00:00 AM;08/17/2020 12:00:00 AM;1200;6;Hollywood;666;2;354;THEFT OF IDENTITY;1822 1501 0930 2004;28;M;H;102;SIDEWALK;;;IC;Invest Cont;354;;;;1900    TRANSIENT;;340.944;-1.183.277
231808869;04/04/2023 00:00;12/01/2020 00:00;2300;18;Southeast;1826;2;354;THEFT OF IDENTITY;1822 0100 0930 0929;41;M;H;501;SINGLE FAMILY DWELLING;;;IC;Invest Cont;354;;;;9900    COMPTON                      AV;;339.467;-1.182.463
230110144;04/04/2023 00:00;07/03/2020 00:00;900;1;Central;182;2;354;THEFT OF IDENTITY;0930 0929;25;M;H;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);;;IC;Invest Cont;354;;;;1100 S  GRAND                        AV;;340.415;-118.262
220314085;07/22/2022 12:00:00 AM;05/12/2020 00:00;1110;3;Southwest;303;2;354;THEFT OF IDENTITY;100;27;F;B;248;CELL PHONE STORE;;;IC;Invest Cont;354;;325959;;2500 S  SYCAMORE                     AV;;340.335;-1.183.537
231309864;04/28/2023 12:00:00 AM;12/09/2020 00:00;1400;13;Newton;1375;2;354;THEFT OF IDENTITY;100;24;F;B;750;CYBERSPACE;;;IC;Invest Cont;354;;;;1300 E  57TH                         ST;;339.911;-1.182.521
211904005;12/31/2020 12:00:00 AM;12/31/2020 12:00:00 AM;1220;19;Mission;1974;2;624;BATTERY - SIMPLE ASSAULT;416;26;M;H;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;624;;;;9000    CEDROS                       AV;;342.336;-1.184.535
